Ax,Ay,Az,Gx,Gy,Gz
0.44072036018009,0.5371528646484865,0.8438829121841382,0.1189406491445314,0.5904041020632401,0.4598636133735633
0.5800400200100049,0.7215411558669004,0.3745308981736303,1.0,0.657031236374418,0.8182465074908001
0.0285142571285643,1.0000000000000002,0.5444083062296723,0.6201771979698972,0.5754329664963287,1.0
0.48224112056028,0.5376532399299476,0.7745809357017766,0.4329595200306957,0.5370371662277412,0.5260041508973263
0.5025012506253126,0.4998749061796348,0.7525644233174882,0.5007168146223206,0.4941399096569405,0.5005336867991
0.8366683341670835,0.422316737553165,0.6052039029271955,0.6959310741754887,1.0,1.0
0.9354677338669334,0.3642732049036778,0.7640730547910934,0.5761358285225945,0.0,0.0582189511135916
0.818409204602301,0.0,0.685764323242432,0.1146223206655388,0.41815755969095,0.8656295236932521
0.584792396198099,0.4998749061796348,0.7800850637978485,0.4408200638331269,0.4388649563109336,0.4921412002720756
0.2546273136568284,0.5526644983737805,0.7187890918188643,0.3891919702809704,0.5029457418420915,0.4421926504700281
0.5027513756878439,0.4998749061796348,0.7530647985989494,0.500687165355704,0.4942009522646807,0.5005493834696618
1.0,0.0,0.829121841381036,0.4749725308265169,0.5543122242182186,0.0
0.6145572786393196,0.4986239679759821,0.7645734300725546,0.6288312956729512,0.4832132828714442,0.0
0.5027513756878439,0.5011258443832876,0.803102326745059,0.4970996040950869,0.5154437797582713,0.7058967159077036
0.5030015007503751,0.5001250938203654,0.7530647985989494,0.500687165355704,0.4942166489352425,0.5005040375324834
0.4232116058029014,0.701776332249187,0.3440080060045034,0.6528960357186459,0.3752446064495875,1.0
0.5130065032516258,0.2146609957468102,0.902176632474356,1.0,0.8142176953799467,0.5112021905575806
0.6948474237118558,0.5726795096322244,0.6822616962722042,0.5022742731569493,0.6256710326665155,0.0
0.3029014507253627,0.5531648736552416,0.7950963222416814,0.4249332891501125,0.4945968571777386,0.0
0.9514757378689344,0.4648486364773581,0.9609707280460348,0.6292882431937492,0.0223415944329141,0.2742940858433472
0.5027513756878439,0.5001250938203654,0.7530647985989494,0.500687165355704,0.4942009522646807,0.5004569475207981
0.6200600300150074,0.5466599949962473,0.7470602952214161,0.5672393044630867,0.5532605472905803,0.0
0.5027513756878439,0.5001250938203654,0.7530647985989494,0.500687165355704,0.4942009522646807,0.5004726441913598
1.0,0.7583187390542909,1.0000000000000002,0.0578526954671503,0.2842143816383836,1.0
0.6073036518259128,0.5141356017012761,0.740555416562422,0.5728081343635,0.0578369987965886,1.0
0.3971985992996498,0.500375281461096,0.4033024768576433,0.0961264105202574,1.0,0.9876240472993004
